Time,pRE_-N4,gp60-63_-N4,gp63-T65I_-N4,gp63-T71A_-N4,pRE_+N4,gp60-63_+N4,gp63-T65I_+N4,gp63-T71A_+N4
0,0.208,0.176,0.179,0.167,0.19,0.167,0.176,0.168
15,0.3,0.267,0.26,0.251,0.299,0.262,0.268,0.25
20,0.326,0.302,0.279,0.265,0.326,0.296,0.272,0.291
25,0.38,0.321,0.224,0.305,0.383,0.337,0.178,0.318
30,0.441,0.382,0.102,0.263,0.475,0.38,0.08,0.268
35,0.485,0.39,0.038,0.181,0.505,0.368,0.04,0.195
40,0.55,0.273,0.03,0.066,0.566,0.308,0.044,0.089
45,0.571,0.111,0.032,0.036,0.574,0.233,0.032,0.052
50,0.671,0.078,0.031,0.033,0.637,0.212,0.031,0.039
55,0.702,0.081,0.027,0.036,0.711,0.216,0.035,0.036
60,0.745,0.076,0.037,0.037,0.777,0.223,0.04,0.037
